id,PROPERTY TYPE,CITY,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,community,floor
NY_1076,Multi-Family (2-4 Unit),Staten Island,4.0,4.0,Sunset Hill,3312.0,4775.0,1931.0,947.0,,40.6281402,-74.1029638,Sunset Hill,No
NY_9351,Condo/Co-op,Kew Gardens,2.0,1.0,Silver Towers,950.0,,1961.0,201.0,,40.7124099,-73.82643990000003,Silver Towers,wood floor
NY_6110,Multi-Family (2-4 Unit),Maspeth,4.0,2.0,Maspeth,1600.0,2033.0,1945.0,491.0,,40.732856,-73.894631,Maspeth,wood floor
NY_3569,Single Family Residential,St. Albans,4.0,2.5,St. Albans,1932.0,5000.0,1950.0,78.0,,40.6857,-73.759654,St. Albans,wood floor
NY_7985,Single Family Residential,Staten Island,3.0,2.0,Mariners Harbor,2100.0,4018.0,1960.0,696.0,,40.6316935,-74.1655348,Mariners Harbor,No
NY_6911,Condo/Co-op,Bronx,2.0,1.5,Bronx,936.0,35479.0,1988.0,787.0,375.0,40.8219586,-73.8604101,Bronx,No
NY_6825,Condo/Co-op,Bronx,2.0,1.0,Bronx,934.0,14988.0,2006.0,731.0,419.0,40.8203241,-73.9126052,Bronx,No
NY_7957,Townhouse,Staten Island,4.0,4.0,Elm Park,2142.0,2850.0,2002.0,495.0,47.0,40.630042,-74.15179,Elm Park,No
NY_9078,Condo/Co-op,Bronx,2.0,1.0,Bronx,950.0,,1957.0,906.0,,40.8995193,-73.8623678,Bronx,No
NY_1980,Townhouse,Staten Island,4.0,4.0,Tottenville,3050.0,5127.0,2001.0,543.0,80.0,40.5089441,-74.2402859,Tottenville,No
NY_7109,Multi-Family (2-4 Unit),Bronx,0.0,3.0,Bronx,2125.0,2326.0,2002.0,927.0,,40.81468,-73.846451,Bronx,No
NY_10988,Single Family Residential,Forest Hills,4.0,2.5,Van Court,2610.0,4000.0,1940.0,771.0,,40.715974,-73.8515,Van Court,No
NY_8962,Multi-Family (2-4 Unit),Bronx,3.0,2.0,Bronx,2356.0,5998.0,1910.0,631.0,,40.89959,-73.869761,Bronx,No
